day_of_week,hour_sin,hour_cos,ride_name,wait_time
5,-0.2588190451025208,-0.9659258262890683,Seven Dwarfs Mine Train,60.0
5,-0.4999999999999997,-0.8660254037844388,Seven Dwarfs Mine Train,50.0
5,-0.7071067811865471,-0.7071067811865479,Seven Dwarfs Mine Train,70.0
5,-0.7071067811865471,-0.7071067811865479,Seven Dwarfs Mine Train,75.0
5,-0.8660254037844385,-0.5000000000000004,Seven Dwarfs Mine Train,80.0
5,-0.8660254037844385,-0.5000000000000004,Seven Dwarfs Mine Train,75.0
5,-0.8660254037844385,-0.5000000000000004,Seven Dwarfs Mine Train,65.0
5,-0.9659258262890683,-0.25881904510252063,Seven Dwarfs Mine Train,70.0
5,-0.9659258262890683,-0.25881904510252063,Seven Dwarfs Mine Train,65.0
5,-0.9659258262890683,-0.25881904510252063,Seven Dwarfs Mine Train,75.0
5,-1.0,-1.8369701987210297e-16,Seven Dwarfs Mine Train,60.0
5,-1.0,-1.8369701987210297e-16,Seven Dwarfs Mine Train,60.0
5,-0.9659258262890684,0.2588190451025203,Seven Dwarfs Mine Train,60.0
5,-0.9659258262890684,0.2588190451025203,Seven Dwarfs Mine Train,70.0
5,-0.9659258262890684,0.2588190451025203,Seven Dwarfs Mine Train,65.0
5,-0.7071067811865477,0.7071067811865474,Seven Dwarfs Mine Train,40.0
5,-0.7071067811865477,0.7071067811865474,Seven Dwarfs Mine Train,40.0
5,-0.7071067811865477,0.7071067811865474,Seven Dwarfs Mine Train,50.0
5,-0.5000000000000004,0.8660254037844384,Seven Dwarfs Mine Train,50.0
6,0.7071067811865476,-0.7071067811865475,Seven Dwarfs Mine Train,45.0
6,0.49999999999999994,-0.8660254037844387,Seven Dwarfs Mine Train,45.0
6,0.49999999999999994,-0.8660254037844387,Seven Dwarfs Mine Train,60.0
6,0.258819045102521,-0.9659258262890682,Seven Dwarfs Mine Train,70.0
6,0.258819045102521,-0.9659258262890682,Seven Dwarfs Mine Train,60.0
6,0.258819045102521,-0.9659258262890682,Seven Dwarfs Mine Train,50.0
6,1.2246467991473532e-16,-1.0,Seven Dwarfs Mine Train,55.0
6,1.2246467991473532e-16,-1.0,Seven Dwarfs Mine Train,65.0
6,-0.2588190451025208,-0.9659258262890683,Seven Dwarfs Mine Train,75.0
